GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,HD01_VD02,HD02_VD02,P003003,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US45011970400,45011970400,"Census Tract 9704, Barnwell County, South Carolina",4728,396,3827,333,680,237,50,83,0,13,0,13,97,119,74,80,0,13,74,80
1400000US45011970500,45011970500,"Census Tract 9705, Barnwell County, South Carolina",3621,391,1708,289,1823,332,18,33,0,13,0,13,16,19,56,55,0,13,56,55
1400000US45011980100,45011980100,"Census Tract 9801, Barnwell County, South Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US45013000100,45013000100,"Census Tract 1, Beaufort County, South Carolina",4444,593,1628,273,2769,541,11,17,0,13,0,13,0,13,36,36,0,13,36,36
1400000US45013000200,45013000200,"Census Tract 2, Beaufort County, South Carolina",5084,550,1877,407,3149,406,0,18,0,18,0,18,0,18,58,66,0,18,58,66
1400000US45013000300,45013000300,"Census Tract 3, Beaufort County, South Carolina",5063,411,4178,389,473,231,58,90,107,98,0,18,33,35,214,160,0,18,214,160
1400000US45013000400,45013000400,"Census Tract 4, Beaufort County, South Carolina",1270,236,877,194,247,75,6,10,20,25,0,13,76,51,44,49,15,22,29,33
1400000US45013000501,45013000501,"Census Tract 5.01, Beaufort County, South Carolina",6359,729,3530,518,2265,658,0,18,20,28,0,18,119,149,425,245,9,16,416,244
1400000US45013000502,45013000502,"Census Tract 5.02, Beaufort County, South Carolina",4922,636,2749,750,1811,620,4,18,11,17,0,13,239,214,108,101,0,13,108,101
1400000US45013000503,45013000503,"Census Tract 5.03, Beaufort County, South Carolina",4473,715,3023,488,1289,665,0,13,31,36,0,13,69,69,61,69,0,13,61,69
1400000US45013000600,45013000600,"Census Tract 6, Beaufort County, South Carolina",2456,321,1696,286,608,247,0,13,0,13,0,13,94,77,58,48,0,13,58,48
1400000US45013000700,45013000700,"Census Tract 7, Beaufort County, South Carolina",6301,622,4023,501,1266,368,3,6,176,166,13,28,723,443,97,81,0,18,97,81
1400000US45013000800,45013000800,"Census Tract 8, Beaufort County, South Carolina",4464,748,2491,472,1715,543,33,52,95,143,14,22,57,53,59,65,0,13,59,65
1400000US45013000901,45013000901,"Census Tract 9.01, Beaufort County, South Carolina",2652,299,2248,266,318,157,0,13,86,119,0,13,0,13,0,13,0,13,0,13
1400000US45013000902,45013000902,"Census Tract 9.02, Beaufort County, South Carolina",7961,575,6696,614,990,304,0,18,47,48,0,18,112,170,116,84,24,37,92,79
1400000US45013000903,45013000903,"Census Tract 9.03, Beaufort County, South Carolina",1436,327,1028,298,194,105,0,13,27,35,0,13,153,196,34,40,0,13,34,40
1400000US45013001000,45013001000,"Census Tract 10, Beaufort County, South Carolina",5444,584,3763,496,1104,303,10,14,118,68,0,18,175,82,274,88,58,61,216,83
1400000US45013001101,45013001101,"Census Tract 11.01, Beaufort County, South Carolina",3579,556,2119,279,1370,509,0,13,0,13,2,4,2,5,86,86,0,13,86,86
1400000US45013001102,45013001102,"Census Tract 11.02, Beaufort County, South Carolina",5203,682,1054,260,3606,700,0,18,0,18,0,18,149,179,394,370,0,18,394,370
1400000US45013001200,45013001200,"Census Tract 12, Beaufort County, South Carolina",885,147,851,143,32,50,0,13,0,13,0,13,1,3,1,3,0,13,1,3
1400000US45013002101,45013002101,"Census Tract 21.01, Beaufort County, South Carolina",603,390,593,389,0,13,10,16,0,13,0,13,0,13,0,13,0,13,0,13
1400000US45013002102,45013002102,"Census Tract 21.02, Beaufort County, South Carolina",1862,337,1572,314,96,64,173,123,0,13,0,13,0,13,21,32,21,32,0,13
1400000US45013002103,45013002103,"Census Tract 21.03, Beaufort County, South Carolina",2996,626,2312,599,406,315,0,13,190,206,0,13,31,46,57,58,28,45,29,36
1400000US45013002104,45013002104,"Census Tract 21.04, Beaufort County, South Carolina",11700,549,11294,550,154,78,0,20,58,58,0,20,164,260,30,36,0,20,30,36
1400000US45013002105,45013002105,"Census Tract 21.05, Beaufort County, South Carolina",2771,370,2217,447,392,288,13,20,69,102,0,13,5,8,75,95,0,13,75,95
1400000US45013002106,45013002106,"Census Tract 21.06, Beaufort County, South Carolina",9068,839,6826,863,1224,503,0,18,85,105,0,18,709,484,224,213,52,53,172,203
1400000US45013002107,45013002107,"Census Tract 21.07, Beaufort County, South Carolina",10761,1391,7749,1195,1531,995,0,20,131,99,0,20,1105,814,245,183,85,138,160,121
1400000US45013002108,45013002108,"Census Tract 21.08, Beaufort County, South Carolina",4958,586,3962,565,637,424,0,13,310,267,0,13,27,44,22,36,0,13,22,36
1400000US45013002201,45013002201,"Census Tract 22.01, Beaufort County, South Carolina",6570,758,6144,690,382,307,44,53,0,18,0,18,0,18,0,18,0,18,0,18
1400000US45013002202,45013002202,"Census Tract 22.02, Beaufort County, South Carolina",3288,561,2983,598,207,149,0,13,0,13,0,13,57,97,41,34,0,13,41,34
1400000US45013010100,45013010100,"Census Tract 101, Beaufort County, South Carolina",1715,215,1678,209,0,13,0,13,0,13,0,13,24,39,13,20,0,13,13,20
