GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,P003003_1,HD02_VD02,P003003,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone
1400000US47157022024,47157022024,"Census Tract 220.24, Shelby County, Tennessee",3903,564,186,92,3672,565
1400000US47157022111,47157022111,"Census Tract 221.11, Shelby County, Tennessee",5624,895,170,113,5445,906
1400000US47157022112,47157022112,"Census Tract 221.12, Shelby County, Tennessee",5664,760,134,84,5484,768
1400000US47157022121,47157022121,"Census Tract 221.21, Shelby County, Tennessee",4453,520,244,153,4198,478
1400000US47157022122,47157022122,"Census Tract 221.22, Shelby County, Tennessee",3645,475,181,134,3445,487
1400000US47157022130,47157022130,"Census Tract 221.30, Shelby County, Tennessee",6265,834,269,161,5979,871
1400000US47157022210,47157022210,"Census Tract 222.10, Shelby County, Tennessee",4969,524,10,15,4951,526
1400000US47157022220,47157022220,"Census Tract 222.20, Shelby County, Tennessee",4348,706,0,127,4267,701
1400000US47157022310,47157022310,"Census Tract 223.10, Shelby County, Tennessee",5011,649,0,127,4991,645
1400000US47157022321,47157022321,"Census Tract 223.21, Shelby County, Tennessee",3944,463,87,62,3800,453
1400000US47157022322,47157022322,"Census Tract 223.22, Shelby County, Tennessee",4244,364,37,31,4179,375
1400000US47157022330,47157022330,"Census Tract 223.30, Shelby County, Tennessee",5217,525,171,151,4912,527
1400000US47157022410,47157022410,"Census Tract 224.10, Shelby County, Tennessee",6864,736,513,325,6208,707
1400000US47157022500,47157022500,"Census Tract 225, Shelby County, Tennessee",4350,587,298,140,3710,485
1400000US47157022600,47157022600,"Census Tract 226, Shelby County, Tennessee",3190,530,498,137,2553,516
1400000US47157022700,47157022700,"Census Tract 227, Shelby County, Tennessee",7498,1003,201,100,7266,1019
1400000US47157980100,47157980100,"Census Tract 9801, Shelby County, Tennessee",0,127,0,127,0,127
1400000US47157980200,47157980200,"Census Tract 9802, Shelby County, Tennessee",0,127,0,127,0,127
1400000US47157980300,47157980300,"Census Tract 9803, Shelby County, Tennessee",0,127,0,127,0,127
1400000US47157980400,47157980400,"Census Tract 9804, Shelby County, Tennessee",905,207,146,53,751,176
1400000US47159975000,47159975000,"Census Tract 9750, Smith County, Tennessee",3928,427,3769,430,58,61
1400000US47159975100,47159975100,"Census Tract 9751, Smith County, Tennessee",2829,343,2601,325,153,88
1400000US47159975200,47159975200,"Census Tract 9752, Smith County, Tennessee",5256,429,5022,427,46,28
1400000US47159975300,47159975300,"Census Tract 9753, Smith County, Tennessee",2272,373,2162,378,36,45
1400000US47159975400,47159975400,"Census Tract 9754, Smith County, Tennessee",4750,432,4583,405,65,68
1400000US47161110200,47161110200,"Census Tract 1102, Stewart County, Tennessee",5890,390,5761,406,23,28
1400000US47161110600,47161110600,"Census Tract 1106, Stewart County, Tennessee",2721,275,2487,276,152,38
1400000US47161110700,47161110700,"Census Tract 1107, Stewart County, Tennessee",4522,307,4251,326,33,27
1400000US47161980100,47161980100,"Census Tract 9801, Stewart County, Tennessee",0,127,0,127,0,127
1400000US47161980200,47161980200,"Census Tract 9802, Stewart County, Tennessee",0,127,0,127,0,127
1400000US47163040200,47163040200,"Census Tract 402, Sullivan County, Tennessee",2482,370,1755,360,683,212
1400000US47163040300,47163040300,"Census Tract 403, Sullivan County, Tennessee",2860,302,2535,298,141,142
1400000US47163040500,47163040500,"Census Tract 405, Sullivan County, Tennessee",4465,381,4009,358,196,146
1400000US47163040600,47163040600,"Census Tract 406, Sullivan County, Tennessee",2991,308,2838,297,85,102
1400000US47163040700,47163040700,"Census Tract 407, Sullivan County, Tennessee",2697,293,2578,280,78,67
1400000US47163040800,47163040800,"Census Tract 408, Sullivan County, Tennessee",3688,432,3404,474,219,192
1400000US47163040900,47163040900,"Census Tract 409, Sullivan County, Tennessee",3249,273,2927,303,58,45
1400000US47163041000,47163041000,"Census Tract 410, Sullivan County, Tennessee",4193,268,4014,248,17,28
1400000US47163041100,47163041100,"Census Tract 411, Sullivan County, Tennessee",2564,181,2527,185,0,127
1400000US47163041200,47163041200,"Census Tract 412, Sullivan County, Tennessee",6606,374,6298,388,52,80
1400000US47163041300,47163041300,"Census Tract 413, Sullivan County, Tennessee",4235,299,4176,302,0,127
1400000US47163041400,47163041400,"Census Tract 414, Sullivan County, Tennessee",5719,390,5653,406,0,127
1400000US47163041500,47163041500,"Census Tract 415, Sullivan County, Tennessee",2546,250,2408,276,76,80
1400000US47163041600,47163041600,"Census Tract 416, Sullivan County, Tennessee",2518,335,2433,345,33,40
1400000US47163041700,47163041700,"Census Tract 417, Sullivan County, Tennessee",3391,231,3370,230,0,127
1400000US47163041800,47163041800,"Census Tract 418, Sullivan County, Tennessee",4790,335,4160,331,83,76
1400000US47163041900,47163041900,"Census Tract 419, Sullivan County, Tennessee",3213,241,3213,241,0,127
1400000US47163042000,47163042000,"Census Tract 420, Sullivan County, Tennessee",3522,251,3455,238,0,127
1400000US47163042100,47163042100,"Census Tract 421, Sullivan County, Tennessee",5377,412,5017,416,96,87
1400000US47163042200,47163042200,"Census Tract 422, Sullivan County, Tennessee",3309,445,3309,445,0,127
1400000US47163042300,47163042300,"Census Tract 423, Sullivan County, Tennessee",6622,360,6427,350,64,89
1400000US47163042400,47163042400,"Census Tract 424, Sullivan County, Tennessee",3252,472,3139,497,40,61
1400000US47163042500,47163042500,"Census Tract 425, Sullivan County, Tennessee",3441,183,3431,184,0,127
1400000US47163042600,47163042600,"Census Tract 426, Sullivan County, Tennessee",4500,349,4241,355,186,171
1400000US47163042701,47163042701,"Census Tract 427.01, Sullivan County, Tennessee",5504,620,5123,560,148,120
1400000US47163042702,47163042702,"Census Tract 427.02, Sullivan County, Tennessee",2055,174,1924,187,73,92
1400000US47163042801,47163042801,"Census Tract 428.01, Sullivan County, Tennessee",2456,300,2399,287,45,43
1400000US47163042802,47163042802,"Census Tract 428.02, Sullivan County, Tennessee",4391,422,4052,407,252,107
1400000US47163042900,47163042900,"Census Tract 429, Sullivan County, Tennessee",4142,233,3997,240,0,127
1400000US47163043000,47163043000,"Census Tract 430, Sullivan County, Tennessee",4552,340,4431,313,36,43
1400000US47163043100,47163043100,"Census Tract 431, Sullivan County, Tennessee",3483,433,3243,345,146,94
1400000US47163043201,47163043201,"Census Tract 432.01, Sullivan County, Tennessee",4015,246,3974,253,41,57
1400000US47163043202,47163043202,"Census Tract 432.02, Sullivan County, Tennessee",4869,480,4810,479,9,14
1400000US47163043301,47163043301,"Census Tract 433.01, Sullivan County, Tennessee",5016,402,4987,401,0,127
1400000US47163043302,47163043302,"Census Tract 433.02, Sullivan County, Tennessee",5297,339,5208,333,19,31
1400000US47163043401,47163043401,"Census Tract 434.01, Sullivan County, Tennessee",4944,420,4883,401,0,127
1400000US47163043402,47163043402,"Census Tract 434.02, Sullivan County, Tennessee",4509,501,4332,478,62,43
1400000US47163043500,47163043500,"Census Tract 435, Sullivan County, Tennessee",3409,412,3344,384,3,6
1400000US47163043600,47163043600,"Census Tract 436, Sullivan County, Tennessee",4943,403,4790,411,41,46
1400000US47165020101,47165020101,"Census Tract 201.01, Sumner County, Tennessee",3195,288,3116,297,48,58
1400000US47165020102,47165020102,"Census Tract 201.02, Sumner County, Tennessee",5460,444,5378,438,0,127
1400000US47165020203,47165020203,"Census Tract 202.03, Sumner County, Tennessee",2036,324,1947,314,0,127
1400000US47165020204,47165020204,"Census Tract 202.04, Sumner County, Tennessee",2859,331,2669,341,23,28
1400000US47165020205,47165020205,"Census Tract 202.05, Sumner County, Tennessee",2759,263,2515,355,95,103
1400000US47165020206,47165020206,"Census Tract 202.06, Sumner County, Tennessee",1301,243,1276,241,23,41
1400000US47165020207,47165020207,"Census Tract 202.07, Sumner County, Tennessee",1473,245,1362,224,103,134
1400000US47165020208,47165020208,"Census Tract 202.08, Sumner County, Tennessee",2097,304,1952,270,114,125
1400000US47165020209,47165020209,"Census Tract 202.09, Sumner County, Tennessee",1761,258,1761,258,0,127
1400000US47165020300,47165020300,"Census Tract 203, Sumner County, Tennessee",4890,418,4509,438,81,80
1400000US47165020403,47165020403,"Census Tract 204.03, Sumner County, Tennessee",1976,333,1974,333,0,127
1400000US47165020404,47165020404,"Census Tract 204.04, Sumner County, Tennessee",1895,127,1853,142,0,127
1400000US47165020405,47165020405,"Census Tract 204.05, Sumner County, Tennessee",1878,155,1838,157,9,16
1400000US47165020406,47165020406,"Census Tract 204.06, Sumner County, Tennessee",3282,378,3219,378,44,73
1400000US47165020407,47165020407,"Census Tract 204.07, Sumner County, Tennessee",4062,339,3842,327,73,90
1400000US47165020501,47165020501,"Census Tract 205.01, Sumner County, Tennessee",3672,304,3516,307,111,113
1400000US47165020502,47165020502,"Census Tract 205.02, Sumner County, Tennessee",3132,279,3004,315,128,115
1400000US47165020503,47165020503,"Census Tract 205.03, Sumner County, Tennessee",1590,214,1563,216,27,43
1400000US47165020601,47165020601,"Census Tract 206.01, Sumner County, Tennessee",3723,459,3672,473,40,63
1400000US47165020602,47165020602,"Census Tract 206.02, Sumner County, Tennessee",3873,322,3610,323,172,177
1400000US47165020603,47165020603,"Census Tract 206.03, Sumner County, Tennessee",2991,340,2918,348,0,127
1400000US47165020700,47165020700,"Census Tract 207, Sumner County, Tennessee",5459,469,4264,495,746,217
1400000US47165020800,47165020800,"Census Tract 208, Sumner County, Tennessee",6377,582,3792,561,2262,396
1400000US47165020901,47165020901,"Census Tract 209.01, Sumner County, Tennessee",1244,203,1184,246,60,105
1400000US47165020902,47165020902,"Census Tract 209.02, Sumner County, Tennessee",6796,441,5629,434,751,214
1400000US47165020903,47165020903,"Census Tract 209.03, Sumner County, Tennessee",4104,289,3697,346,347,232
1400000US47165021002,47165021002,"Census Tract 210.02, Sumner County, Tennessee",6390,475,5274,450,656,174
1400000US47165021004,47165021004,"Census Tract 210.04, Sumner County, Tennessee",3840,417,3540,438,268,179
1400000US47165021005,47165021005,"Census Tract 210.05, Sumner County, Tennessee",5587,414,4947,506,276,175
1400000US47165021006,47165021006,"Census Tract 210.06, Sumner County, Tennessee",3163,288,2689,356,205,167
1400000US47165021007,47165021007,"Census Tract 210.07, Sumner County, Tennessee",1334,180,1257,147,24,37
1400000US47165021008,47165021008,"Census Tract 210.08, Sumner County, Tennessee",3693,232,3368,291,163,157
1400000US47165021009,47165021009,"Census Tract 210.09, Sumner County, Tennessee",4539,404,4019,409,431,261
1400000US47165021103,47165021103,"Census Tract 211.03, Sumner County, Tennessee",5852,427,4952,564,604,387
1400000US47165021104,47165021104,"Census Tract 211.04, Sumner County, Tennessee",1944,190,1621,350,285,307
1400000US47165021105,47165021105,"Census Tract 211.05, Sumner County, Tennessee",6734,416,5743,464,709,302
1400000US47165021106,47165021106,"Census Tract 211.06, Sumner County, Tennessee",3706,287,3118,321,385,288
1400000US47165021107,47165021107,"Census Tract 211.07, Sumner County, Tennessee",4217,302,3852,308,264,193
1400000US47165021201,47165021201,"Census Tract 212.01, Sumner County, Tennessee",6277,273,6050,292,57,93
1400000US47165021203,47165021203,"Census Tract 212.03, Sumner County, Tennessee",4554,421,4439,426,45,60
1400000US47165021204,47165021204,"Census Tract 212.04, Sumner County, Tennessee",7549,514,6478,491,722,264
1400000US47165021205,47165021205,"Census Tract 212.05, Sumner County, Tennessee",2328,263,2201,268,112,165
1400000US47167040100,47167040100,"Census Tract 401, Tipton County, Tennessee",4539,406,4035,384,466,177
1400000US47167040200,47167040200,"Census Tract 402, Tipton County, Tennessee",2288,250,2096,256,87,62
1400000US47167040302,47167040302,"Census Tract 403.02, Tipton County, Tennessee",8636,507,7419,488,908,332
1400000US47167040303,47167040303,"Census Tract 403.03, Tipton County, Tennessee",5672,451,4636,505,810,241
1400000US47167040304,47167040304,"Census Tract 403.04, Tipton County, Tennessee",6505,452,5965,467,278,179
1400000US47167040400,47167040400,"Census Tract 404, Tipton County, Tennessee",3473,286,3270,267,56,66
1400000US47167040500,47167040500,"Census Tract 405, Tipton County, Tennessee",5833,407,5122,364,393,153
1400000US47167040601,47167040601,"Census Tract 406.01, Tipton County, Tennessee",4941,628,2963,462,1906,378
1400000US47167040602,47167040602,"Census Tract 406.02, Tipton County, Tennessee",3191,301,2608,321,541,222
1400000US47167040700,47167040700,"Census Tract 407, Tipton County, Tennessee",5478,600,2177,404,3281,556
1400000US47167040800,47167040800,"Census Tract 408, Tipton County, Tennessee",4279,364,3730,387,425,203
1400000US47167040900,47167040900,"Census Tract 409, Tipton County, Tennessee",1600,234,1292,263,308,72
1400000US47167041000,47167041000,"Census Tract 410, Tipton County, Tennessee",3254,408,1439,318,1790,276
1400000US47169090100,47169090100,"Census Tract 901, Trousdale County, Tennessee",5137,266,4604,248,185,97
1400000US47169090200,47169090200,"Census Tract 902, Trousdale County, Tennessee",2614,266,2210,246,372,135
1400000US47171080100,47171080100,"Census Tract 801, Unicoi County, Tennessee",2732,316,2722,314,0,127
1400000US47171080200,47171080200,"Census Tract 802, Unicoi County, Tennessee",6382,472,6164,460,0,127
1400000US47171080300,47171080300,"Census Tract 803, Unicoi County, Tennessee",5147,318,4965,358,142,129
1400000US47171080400,47171080400,"Census Tract 804, Unicoi County, Tennessee",3996,321,3938,331,0,127
1400000US47173040100,47173040100,"Census Tract 401, Union County, Tennessee",6935,498,6803,504,0,127
1400000US47173040201,47173040201,"Census Tract 402.01, Union County, Tennessee",3761,373,3694,351,0,127
1400000US47173040202,47173040202,"Census Tract 402.02, Union County, Tennessee",6158,453,5989,428,0,127
1400000US47173040300,47173040300,"Census Tract 403, Union County, Tennessee",2234,351,2210,348,0,127
1400000US47175925000,47175925000,"Census Tract 9250, Van Buren County, Tennessee",2226,247,2143,264,0,127
1400000US47175925200,47175925200,"Census Tract 9252, Van Buren County, Tennessee",3277,247,3129,240,99,108
1400000US47177930100,47177930100,"Census Tract 9301, Warren County, Tennessee",3787,389,3657,401,45,42
1400000US47177930200,47177930200,"Census Tract 9302, Warren County, Tennessee",6697,538,6502,555,85,96
1400000US47177930300,47177930300,"Census Tract 9303, Warren County, Tennessee",2672,380,2568,360,100,96
1400000US47177930400,47177930400,"Census Tract 9304, Warren County, Tennessee",5823,565,5292,598,207,190
1400000US47177930500,47177930500,"Census Tract 9305, Warren County, Tennessee",4685,426,4373,402,165,118
1400000US47177930600,47177930600,"Census Tract 9306, Warren County, Tennessee",3632,427,3301,413,255,143
1400000US47177930700,47177930700,"Census Tract 9307, Warren County, Tennessee",4671,423,4405,464,61,64
1400000US47177930800,47177930800,"Census Tract 9308, Warren County, Tennessee",5757,517,5369,514,228,146
1400000US47177930900,47177930900,"Census Tract 9309, Warren County, Tennessee",1815,365,1717,330,0,127
1400000US47179060100,47179060100,"Census Tract 601, Washington County, Tennessee",3368,535,2500,419,716,163
1400000US47179060400,47179060400,"Census Tract 604, Washington County, Tennessee",5823,455,5656,464,35,37
1400000US47179060501,47179060501,"Census Tract 605.01, Washington County, Tennessee",4555,480,4105,502,370,268
1400000US47179060502,47179060502,"Census Tract 605.02, Washington County, Tennessee",5876,358,5260,382,129,111
1400000US47179060600,47179060600,"Census Tract 606, Washington County, Tennessee",7077,599,6239,574,538,221
1400000US47179060700,47179060700,"Census Tract 607, Washington County, Tennessee",1504,505,1232,448,146,104
1400000US47179060800,47179060800,"Census Tract 608, Washington County, Tennessee",2870,379,2527,325,96,64
1400000US47179060900,47179060900,"Census Tract 609, Washington County, Tennessee",5485,551,4470,540,777,222
